latitude,longitude,brightness,frp,type
19.4097,-155.2743,391.9,340.6,1
19.4016,-155.2895,309.2,17.3,1
19.417,-155.2799,333.2,57.4,1
19.3994,-155.2764,301.5,9.6,1
19.4147,-155.2667,306.9,15.3,1
19.4119,-155.2876,420.5,651.8,1
31.0962,-92.428,325.3,26.7,0
31.0977,-92.4398,305.7,6.5,0
30.7093,-85.2455,307.5,7.5,0
31.0998,-92.4214,335.5,41.5,0
31.1012,-92.4333,349.2,70.9,0
30.712,-85.2603,308.5,8.6,0
26.5741,-80.6803,328.8,157.3,0
26.844,-81.1616,315.1,54.5,0
26.8332,-81.1719,317,63.9,0
26.5662,-80.6753,328.8,157,0
33.4158,-110.8639,301.1,8.8,2
31.9247,-81.5795,316.1,15.1,0
31.9222,-81.5936,331.2,40.7,0
33.0071,-79.882,308,6.7,2
31.912,-81.591,325.5,29,0
31.9212,-81.5852,331.8,42.9,0
31.9145,-81.5769,332.5,42.8,0
34.2391,-78.2455,305.8,5.4,0
31.9186,-81.5993,320,21.5,0
26.1984,-98.1744,331.5,24.1,2
26.197,-98.1856,326.9,17,2
19.3988,-155.2884,406.9,968.6,1
19.3973,-155.295,385.2,571.2,1
19.414,-155.277,311.2,29,1
19.4012,-155.2742,374.2,422,1
19.395,-155.3096,314.6,32.7,1
19.4026,-155.2675,337.7,120.9,1
19.4153,-155.2803,343.7,51.9,1
19.414,-155.2898,346.2,56.6,1
19.4064,-155.2789,383.1,170.2,1
19.4051,-155.2884,401.2,265.5,1
26.5501,-80.628,313.3,8.5,0
26.6789,-80.5187,314.5,10.3,0
26.6229,-80.559,327.7,30.2,0
26.6612,-81.4691,311.8,9.5,0
26.5602,-80.6266,312.2,7.8,0
26.8023,-81.2056,308.8,6.8,0
26.9937,-80.5975,321.1,22,0
26.6905,-80.53,315.5,12.6,0
26.689,-80.5173,324.8,25.5,0
26.6244,-80.5717,315.5,12.4,0
26.8006,-81.1916,309,7.1,0
35.8117,-97.3788,300.1,10,0
32.492,-101.3549,303,7.6,0
29.8542,-95.5498,320.3,41.3,2
31.4914,-101.6418,300.5,5.4,0
31.5796,-102.1573,302.8,6.2,0
26.4574,-80.5886,319.2,23.3,0
26.4694,-80.5901,323,32.3,0
26.4675,-80.609,318.9,23.8,0
26.4612,-80.5944,331.4,58.2,0
26.7988,-80.4416,317.2,27.3,0
29.7851,-93.8583,333.7,85.8,0
29.7792,-93.8498,324.3,61.4,0
30.6913,-82.0697,309.2,12.7,0
29.7814,-93.877,314.1,31.4,0
29.7757,-93.8684,335.4,96.3,0
29.8475,-95.5715,302.8,26.1,2
29.8389,-95.5622,302.4,23.8,2
36.2994,-97.1638,302.6,28.5,0
19.403,-155.2917,339.4,46.2,1
19.4125,-155.2902,322.7,20.9,1
19.4111,-155.2797,353.7,82.3,1
19.4016,-155.281,356.7,89.7,1
19.4016,-155.282,350.1,92.1,1
19.4104,-155.297,324.5,28.3,1
19.4121,-155.2835,334.8,50.3,1
19.4,-155.2954,344.7,73.4,1
41.1176,-85.3524,303.7,11.1,2
29.985,-90.7886,323.6,32.5,0
30.1531,-91.1144,300.3,7.2,0
30.0336,-90.5996,304,10.2,0
29.9989,-90.3939,307.8,13.8,2
30.0289,-90.735,314.7,20,0
30.0004,-90.7454,318.8,22.7,0
29.9972,-90.7188,315.3,19.1,0
29.9199,-91.0122,306.8,12.3,0
29.9558,-91.9149,307.9,17.8,0
29.9537,-91.9212,300.7,11.3,0
29.9024,-91.7559,314.1,24.7,0
29.9007,-91.7407,319.1,32.2,0
29.9001,-92.0405,310.5,22.6,0
29.8291,-91.5829,303.4,10.8,0
29.6074,-94.6588,306.4,32.9,0
44.1979,-104.2107,300.4,10.5,0
33.4198,-110.8618,305.3,8.5,2
33.9481,-114.462,300,5.9,0
34.227,-106.0427,307,17.3,0
33.8507,-80.3773,302.7,13.2,0
28.9065,-97.3288,316.1,14.3,0
28.6628,-96.0621,307.7,9.6,0
28.4575,-97.5835,304.5,5.9,0
28.6791,-96.1269,308.8,8.3,0
28.8595,-96.2257,305.8,6.9,0
28.8846,-98.1458,301,3.1,0
28.8831,-98.1559,303.2,4.4,0
29.7295,-91.4374,305.6,20.7,0
29.7294,-91.4428,301.7,12.6,0
29.8636,-90.9456,300.2,14.8,0
29.8838,-91.0183,300.3,13.1,0
29.8639,-91.531,301.5,11.3,0
29.8751,-91.681,302.3,11.8,0
29.8816,-91.7445,303.1,14.9,0
30.0211,-90.5228,300.5,16.2,0
29.8833,-91.7501,306.7,19.2,0
28.9851,-99.2096,315.6,12.5,0
28.9941,-99.2114,305.1,4.2,0
30.0281,-90.5288,300.5,16.4,0
29.8009,-92.983,310.9,22.9,0
29.1007,-98.6215,308,6,0
30.0374,-90.5803,301.5,15.9,0
29.8122,-92.9846,308.4,19,0
29.9352,-92.2373,301.1,13.2,0
29.9586,-91.9308,301.2,11.5,0
30.039,-91.7345,301.3,12.9,0
30.114,-91.0573,307.9,27.2,0
30.048,-91.9012,307.1,21.3,0
29.7158,-95.134,302.2,4.7,2
30.0505,-91.9069,301.9,12.2,0
30.168,-91.1617,314.7,39.8,0
